"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -2.82181759,     -0.9466002197,     -0.2858390826,       2.657591458
          0,           0,           1,      -2.752930853,      -1.109748452,     -0.2369876656,       2.728343924
          0,           0,           2,      -3.010362877,      -1.149481258,     -0.5919949238,       2.470913452
          0,           0,           3,      -3.181865569,      -1.202626842,     -0.7126680273,       2.297908183
          0,           0,           4,       -3.54926103,      -1.432640655,     -0.9918733221,       1.932348022
          0,           0,           5,      -3.519950089,      -1.603076606,     -0.9966627464,       1.960669108
          0,           0,           6,      -3.842702474,      -1.779529932,      -1.276465855,       1.639603598
          0,           0,           7,      -3.978548381,      -2.053761182,       -1.40843071,       1.501805994
          0,           0,           8,      -4.128456861,      -2.202996064,      -1.531072054,       1.352463074
          0,           0,           9,      -4.190518175,      -2.215532439,       -1.59779006,       1.289420777
          0,           0,          10,      -4.271683967,      -2.401340059,       -1.66385238,       1.207830813
          0,           0,          11,      -4.522225552,      -2.563242832,        -1.9004598,       0.957941373
          0,           0,          12,      -4.464911618,      -2.503390232,      -1.892286282,       1.014929651
          0,           0,          13,      -4.450725827,      -2.560389706,      -1.909761625,       1.028237401
          0,           0,          14,       -4.62181896,      -2.674900654,      -2.069548539,      0.8576607257
          0,           0,          15,      -4.724296457,      -2.793141861,      -2.170538177,      0.7548879475
          0,           0,          16,      -4.692045053,      -2.669446718,      -2.160634241,      0.7875203408
          0,           0,          17,        -4.8451238,      -2.852303903,      -2.294524764,      0.6344425689
          0,           0,          18,      -4.890197227,      -2.903112857,      -2.346867439,      0.5889562784
          0,           0,          19,       -4.96766449,      -2.896045184,      -2.410772838,      0.5127418134
          0,           0,          20,      -5.013821414,       -3.02293616,      -2.433942588,      0.4650268735
          0,           0,          21,      -5.076547454,      -3.014382479,      -2.495582352,       0.403047491
          0,           0,          22,      -5.112638935,      -3.021636012,      -2.545024594,      0.3668755235
          0,           0,          23,      -5.178288701,      -2.972485305,      -2.634635989,      0.3032914317
          0,           0,          24,      -5.094674065,      -3.022531305,      -2.534882716,      0.3857290127
          0,           0,          25,       -5.12292905,       -3.08645663,      -2.550833504,       0.357020729
