"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.670068099,       1.444522461,      -0.286425695,       3.809093179
          0,           0,           1,      -1.854943145,       1.319506253,      0.4665133651,       3.601091258
          0,           0,           2,      -1.651535356,       1.308551365,      0.8587361408,       3.810248496
          0,           0,           3,      -1.090033956,       1.447721474,       1.586363034,       4.429507826
          0,           0,           4,      -1.067765083,       1.622330319,       1.396487792,        4.42142313
          0,           0,           5,     -0.9950594471,       1.657657938,       1.373967465,       4.472328635
          0,           0,           6,     -0.9272765003,       1.661877414,       1.502332478,       4.538156654
          0,           0,           7,     -0.9079158906,       1.680371406,       1.475326004,       4.582805824
          0,           0,           8,     -0.9061978549,       1.721113507,       1.537563479,       4.732304711
          0,           0,           9,     -0.8853185359,       1.770569977,        1.54925723,       4.812142976
          0,           0,          10,     -0.8926379294,       1.916166064,       1.654129826,       4.985171004
          0,           0,          11,     -0.8491685349,       1.898923716,       1.679689186,       4.946503844
          0,           0,          12,     -0.8217191295,       2.133941337,       1.663035451,       5.157003148
          0,           0,          13,     -0.7996810731,       1.964789551,       1.790821223,       5.051114717
          0,           0,          14,     -0.7063217572,       2.241343834,       2.133832603,        5.43896428
          0,           0,          15,     -0.7193147322,       2.266105836,       2.163835887,       5.445221877
          0,           0,          16,     -0.6830779088,       2.333234885,       2.171471447,       5.496340483
          0,           0,          17,     -0.5719395103,       2.263252105,       2.127533113,       5.374968256
          0,           0,          18,     -0.5825909999,       2.353404825,       2.159678531,       5.461263702
          0,           0,          19,     -0.5942116072,       2.403532131,       2.193300719,       5.571399767
          0,           0,          20,     -0.5512984653,       2.383839596,       2.267280411,       5.548170576
          0,           0,          21,     -0.5858314086,       2.366424498,       2.246484377,        5.54462152
          0,           0,          22,      -0.613870104,       2.280322268,       2.118673209,       5.417896754
          0,           0,          23,     -0.6110362125,       2.377500251,        2.13978159,       5.512249905
          0,           0,          24,     -0.5672878695,       2.511430295,       2.232184531,       5.640788259
          0,           0,          25,     -0.3327882461,       2.920332096,       2.714158358,       6.127176248
          0,           0,          26,     -0.3990989247,       2.859983892,       2.636958477,       6.086749284
          0,           0,          27,     -0.5535871702,       2.536325545,       2.275882727,       5.699512213
          0,           0,          28,     -0.4564074524,       2.397719802,       2.243988821,       5.520116441
          0,           0,          29,     -0.4202301532,       2.367283512,       2.296620734,       5.494396175
          0,           0,          30,     -0.3343229015,       2.735304834,       2.552795793,       5.955297499
          0,           0,          31,     -0.3916719212,       2.626518616,       2.417509965,       5.809574445
          0,           0,          32,     -0.3749034868,       2.692922592,       2.256148602,       5.873811966
          0,           0,          33,     -0.4237015512,       2.570191349,       2.176497679,       5.737130394
          0,           0,          34,     -0.4267991897,       2.545453936,       2.179146568,       5.702800348
          0,           0,          35,     -0.3998224589,       2.666104292,       2.220796418,        5.81989063
          0,           0,          36,     -0.3496007013,       2.780147713,       2.269285589,       5.909503005
          0,           0,          37,     -0.4357879615,        2.65971681,       2.190886608,       5.844484603
          0,           0,          38,     -0.3456712679,       2.881693076,       2.349020537,       6.044991927
          0,           0,          39,     -0.4908591408,       2.636770552,       2.146502529,       5.810640849
          0,           0,          40,     -0.4930185363,       2.613304503,       2.155695224,       5.826792678
          0,           0,          41,     -0.5146805114,        2.61381755,       2.200949991,       5.879093951
          0,           0,          42,      -0.491717942,       2.659366811,       2.197334372,       5.931170784
          0,           0,          43,     -0.4426174503,       2.849724114,       2.197969148,       6.075434155
          0,           0,          44,      -0.494112889,       2.684490937,       2.250742525,       6.014629792
          0,           0,          45,      -0.385613357,        2.87449803,       2.314287341,       6.137289641
          0,           0,          46,     -0.1206360122,       3.290546266,       2.309154427,         6.4975048
          0,           0,          47,     -0.1857123395,       3.209169681,       2.264479138,       6.401701648
          0,           0,          48,     -0.2640693632,       3.116261746,       2.276251008,       6.327561889
          0,           0,          49,     -0.2732776421,       3.112874692,       2.224511419,       6.325807901
          0,           0,          50,     -0.4357861474,       2.938096276,       2.245972598,       6.229391471
          0,           0,          51,     -0.3871417697,       2.975482198,       2.279697096,       6.241667224
          0,           0,          52,     -0.4024488456,        2.95345931,       2.127294915,       6.207919509
