"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
1364, -6.938893903907228e-18, 0.000000000000000e+00, 7.971755127076545e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.785454861691687e+04, 1.514181944676674e+04, 6.616898286712651e+02, 0.000000000000000e+00, -3.012432417054442e+01, 3.214040317756984e-05, -8.027758423560279e-01, 0.000000000000000e+00, -1.748158777522962e+06, 6.580685500836267e+00
1429, 9.999999999999790e-04, 0.000000000000000e+00, 1.256163492755588e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.947445052608763e+03, 1.578978021043505e+03, 4.378851956820409e+02, 0.000000000000000e+00, -3.513136855250892e+01, 2.436527612562483e-05, -3.951989572895910e-01, 0.000000000000000e+00, 1.723412084409190e+06, 2.417730978414828e+00
1494, 2.008362028316354e-03, 0.000000000000000e+00, 1.686019357801827e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.069265235227984e+04, 2.827706094091193e+04, 5.842544871250823e+03, 0.000000000000000e+00, -2.527513843839616e+01, 1.093726380586754e-04, -5.317610833958038e+00, 0.000000000000000e+00, 3.474838049877808e+07, 2.288912548262647e+00
1559, 3.033518036782932e-03, 0.000000000000000e+00, 1.315790851840585e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.634406290969654e+03, 1.853762516387861e+03, 4.907921175575996e+01, 0.000000000000000e+00, -3.502992534304578e+01, 3.143255987195486e-06, 1.664376575879504e-02, 0.000000000000000e+00, -3.463717145357843e+03, 1.244766268953198e+01
1624, 4.084040408971263e-03, 0.000000000000000e+00, 4.538750517106217e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.274706778297147e+02, 5.098827113188587e+01, 3.913490829045694e+01, 0.000000000000000e+00, -3.569546218546137e+01, 2.386939191376978e-06, -2.481298953792021e-02, 0.000000000000000e+00, -2.190558529872751e+03, 3.717189318330000e+00
1689, 5.168713642704479e-03, 0.000000000000000e+00, 9.594769378104303e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.612044720685513e+01, 1.444817888274205e+01, 5.245766011612003e+01, 0.000000000000000e+00, -3.570895182659701e+01, 3.401282033032017e-06, 5.648625661608485e-03, 0.000000000000000e+00, 2.418348660564674e+04, 5.722612727356220e-01
1754, 6.296607806277090e-03, 0.000000000000000e+00, 1.538772354323979e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.656878715802880e+00, 1.862751486321152e+00, 4.217070764614622e+00, 0.000000000000000e+00, -3.571359803542316e+01, 1.101550701368071e-07, 1.485246144589636e-03, 0.000000000000000e+00, 4.236505385184892e+03, 1.147440690941765e+01
1819, 7.477154382622683e-03, 0.000000000000000e+00, 2.659232127211261e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.750095453061269e+03, 1.100038181224508e+03, 1.441059310327767e+03, 0.000000000000000e+00, -3.530818054632287e+01, 5.140671552300993e-05, -1.226853743042397e+00, 0.000000000000000e+00, -1.291540600523357e+05, 9.289727988395526e-01
1884, 8.720225135641453e-03, 0.000000000000000e+00, 4.667626408941389e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.741297789275520e+04, 1.096519115710208e+04, 8.183714388649852e+02, 0.000000000000000e+00, -3.166622549910060e+01, 3.674974312318045e-05, 2.457270083230588e-01, 0.000000000000000e+00, -1.676261496893395e+06, 2.436511788052803e+00
1949, 1.003621465816935e-02, 0.000000000000000e+00, 4.104794984213228e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.754935102609287e+05, 1.501974041043715e+05, 1.274680379705801e+06, 0.000000000000000e+00, 1.973464602505604e+01, 1.645888842874194e-03, -4.104669292611730e+00, 0.000000000000000e+00, -1.809817038117970e+11, 2.085127683278864e-02
2014, 1.143612729185776e-02, 0.000000000000000e+00, 9.906161190056891e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.952335295290712e+03, 2.380934118116284e+03, 8.372831152687411e+03, 0.000000000000000e+00, -3.483530745112238e+01, 1.316693411163466e-04, 3.899474621666896e+00, 0.000000000000000e+00, -9.317682553488182e+07, 3.946566415717025e-01
2079, 1.293166914579000e-02, 0.000000000000000e+00, 4.861196146110951e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.520003711266579e+02, 3.008001484506631e+02, 2.155585465590150e+01, 0.000000000000000e+00, -3.560323820984924e+01, 1.105749290485393e-06, 5.003750628692536e-03, 0.000000000000000e+00, -9.059051235626100e+02, 1.179264067755113e+01
2144, 1.453534598329693e-02, 0.000000000000000e+00, 3.886922496001166e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.393876223388891e+01, 5.575504893555560e+00, 4.996992131784249e+02, 0.000000000000000e+00, -3.571222738450232e+01, 2.669316044139323e-05, -4.908576656546829e-02, 0.000000000000000e+00, -3.997136756950254e+05, 4.326423873146310e-02
2209, 1.626056779550404e-02, 0.000000000000000e+00, 7.608904714047383e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.233835364198452e+02, 2.893534145679380e+02, 1.324758795204992e+02, 0.000000000000000e+00, -3.560746404297523e+01, 9.152891080590051e-06, 5.207142241019382e-02, 0.000000000000000e+00, -3.365443632696018e+04, 1.818238430866673e+00
2274, 1.812176093605701e-02, 0.000000000000000e+00, 1.264976181203994e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.375702548970620e+02, 2.950281019588248e+02, 8.124775741797465e+01, 0.000000000000000e+00, -3.560536909762212e+01, 5.571226246136872e-06, -4.425119922884237e-02, 0.000000000000000e+00, 7.162665682811142e+04, 3.550595798653223e+00
2339, 2.013448875469928e-02, 0.000000000000000e+00, 2.344446285713447e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.553590041390044e+04, 3.821436016556017e+04, 5.678277996112263e+02, 0.000000000000000e+00, -2.160654889341282e+01, 2.908619106355745e-05, 5.204580925468044e+00, 0.000000000000000e+00, 6.355988973349718e+08, 3.175225016326763e+01
2404, 2.231558173844346e-02, 0.000000000000000e+00, 6.852516992343739e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.071119551565113e+04, 4.284478206260451e+03, 2.178101741293275e+03, 0.000000000000000e+00, -3.413256903273410e+01, 6.475949589556675e-05, -2.755589795226157e+00, 0.000000000000000e+00, -5.222121659920659e+06, 1.774096417260900e+00
2469, 2.468327824858020e-02, 0.000000000000000e+00, 2.692479423971505e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.915143694896118e+04, 7.660574779584471e+03, 9.911498248599391e+03, 0.000000000000000e+00, -3.288620296165617e+01, 1.435477656775382e-04, 1.568587704682443e+00, 0.000000000000000e+00, -1.149764942997443e+08, 3.785144787136664e-01
2534, 2.725737703037178e-02, 0.000000000000000e+00, 3.696439905752216e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.205290688427642e+04, 2.882116275371056e+04, 2.716177786144881e+03, 0.000000000000000e+00, -2.507427035777234e+01, 7.301528948286405e-05, -5.557402982407980e-01, 0.000000000000000e+00, -1.722085787442286e+07, 1.641202963145076e+00
2599, 3.005940277072057e-02, 0.000000000000000e+00, 9.287338547411364e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.472572814297668e+03, 3.389029125719067e+03, 1.271201420635538e+02, 0.000000000000000e+00, -3.446314528496075e+01, 8.797485775293691e-06, 7.966493075992957e-02, 0.000000000000000e+00, -6.143123630772563e+04, 8.174646673077932e+00
2664, 3.311278608821051e-02, 0.000000000000000e+00, 3.413456091113690e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.547133158704401e+04, 6.188532634817603e+03, 6.315732249024450e+01, 0.000000000000000e+00, -3.342964221008614e+01, 4.216286238789780e-06, 1.059266057181561e-03, 0.000000000000000e+00, -2.174392242672292e+04, 3.770664874100683e+00
2729, 3.644305946060312e-02, 0.000000000000000e+00, 1.392550635859572e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.857731901454855e+03, 2.343092760581942e+03, 5.861500840214853e+01, 0.000000000000000e+00, -3.484927748518095e+01, 3.871020215639784e-06, -4.102291892576269e-02, 0.000000000000000e+00, 8.185668793095687e+05, 1.632456704253012e+01
2794, 4.007807072813950e-02, 0.000000000000000e+00, 1.042925711050603e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.373429000812694e+02, 2.149371600325077e+02, 7.179405400189654e+01, 0.000000000000000e+00, -3.563493656716857e+01, 4.867836467945776e-06, -1.796931523220327e-02, 0.000000000000000e+00, -9.390183559159303e+02, 2.351282463187425e+00
2859, 4.404821595796903e-02, 0.000000000000000e+00, 2.169866321030266e-06, 0.000000000000000e+00, 0.000000000000000e+00, 2.313159080780002e+03, 9.252636323120005e+02, 1.485466488259133e+06, 0.000000000000000e+00, -3.537270271360141e+01, 1.776792110127499e-03, 1.354100939499634e+01, 0.000000000000000e+00, -2.292648289542874e+11, 2.550666780562287e-03
2924, 4.838669361692351e-02, 0.000000000000000e+00, 2.061319614225310e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.312598872538773e+03, 5.250395490155090e+02, 8.873133746199100e+00, 0.000000000000000e+00, -3.552045492015570e+01, 3.230802237890867e-07, -2.265162442402733e-04, 0.000000000000000e+00, 7.335489293515690e+02, 1.768317735582484e+01
2989, 5.312978217803701e-02, 0.000000000000000e+00, 3.763985863737941e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.009569097947611e+04, 4.038276391790445e+03, 3.737475906307698e+04, 0.000000000000000e+00, -3.422346026807904e+01, 2.810254861304306e-04, -1.045583463315168e+00, 0.000000000000000e+00, -9.028134307425811e+08, 5.902091946075362e-02
3054, 5.831714348216441e-02, 0.000000000000000e+00, 8.504165932413354e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.757134077234984e+03, 7.028536308939935e+02, 2.879144834689528e-01, 0.000000000000000e+00, -3.545481063723905e+01, 2.034850593990435e-09, 1.032993818619390e-05, 0.000000000000000e+00, 9.370383452944536e+01, 3.851062178147584e+03
3119, 6.399215439141802e-02, 0.000000000000000e+00, 6.154540276800605e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.484103054105281e+02, 9.936412216421120e+01, 5.624246247722040e+01, 0.000000000000000e+00, -3.567760309343699e+01, 3.690186193351861e-06, -7.328652248569568e-03, 0.000000000000000e+00, -5.703238239100160e+03, 1.521633007688191e+00
3184, 7.020226950771651e-02, 0.000000000000000e+00, 6.804435044514581e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.128271801724487e+02, 1.251308720689795e+02, 6.406233201930350e+01, 0.000000000000000e+00, -3.566809068698007e+01, 4.284892254827730e-06, 5.057399440887707e-02, 0.000000000000000e+00, 6.285634209565147e+04, 3.619662615563167e+00
3249, 7.699941798951006e-02, 0.000000000000000e+00, 1.386695606072965e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.261568221828628e+00, 9.046272887314510e-01, 2.272578482281600e+00, 0.000000000000000e+00, -3.571395174968038e+01, 4.432998308585183e-08, -2.248220440950993e-06, 0.000000000000000e+00, 1.578503179732474e+01, 1.053078591804294e+00
3314, 8.444043778487398e-02, 0.000000000000000e+00, 9.661087374081058e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.508040422240731e+03, 1.003216168896292e+03, 3.617419359992558e+02, 0.000000000000000e+00, -3.534392468707195e+01, 2.124531499827322e-05, -1.065173994078355e-01, 0.000000000000000e+00, -2.174916757437942e+05, 1.262433299435807e+00
3379, 9.258755091203948e-02, 0.000000000000000e+00, 3.754699480314238e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.067370821546904e+04, 1.626948328618761e+04, 1.509485421003061e+05, 0.000000000000000e+00, -2.970802033606855e+01, 5.660234298964970e-04, -9.052804308686233e-01, 0.000000000000000e+00, -7.412891756102257e+09, 2.723284929211305e-02
