"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.057387319,    -0.03778530763,       0.460728802,       3.420081625
          0,           0,           1,      -1.993141672,     0.09119974211,       0.512500842,       3.492646646
          0,           0,           2,      -2.377779065,    -0.04907252861,       0.203477192,       3.100242673
          0,           0,           3,      -2.732097776,     -0.3479567485,     -0.3580030849,       2.735536732
          0,           0,           4,      -2.967655401,     -0.6108914548,     -0.5056250827,       2.515276471
          0,           0,           5,       -2.68927673,     -0.5917377355,     -0.1633387709,       2.791863128
          0,           0,           6,      -3.056219929,     -0.8332616236,      -0.515357736,       2.428510951
          0,           0,           7,      -3.071231074,      -0.924489096,     -0.5452091626,        2.40752319
          0,           0,           8,      -3.523712905,      -1.173247523,     -0.9114329839,        1.96186022
          0,           0,           9,      -3.538086407,      -1.441866767,     -0.8798006237,       1.942829018
          0,           0,          10,      -3.670063034,      -1.553240885,     -0.9812255209,       1.810389681
          0,           0,          11,      -3.702914933,       -1.58248248,      -1.035799172,        1.77736847
          0,           0,          12,      -3.589538258,      -1.700066354,     -0.9921815787,       1.889244549
          0,           0,          13,       -3.65277621,      -1.723401923,      -1.088334957,       1.826322691
          0,           0,          14,      -3.697751368,      -1.730309121,      -1.134717253,        1.78152169
          0,           0,          15,      -3.744171425,      -1.716859669,       -1.18026743,        1.73563587
          0,           0,          16,      -3.809045624,      -1.775364972,      -1.237652332,       1.671205181
          0,           0,          17,       -3.85329995,      -1.811927624,      -1.276246468,       1.627275577
          0,           0,          18,      -3.888246281,      -1.856747344,      -1.298710686,       1.592405555
          0,           0,          19,      -3.914537089,      -1.915804312,      -1.315304443,       1.565708348
          0,           0,          20,      -3.960989362,      -1.953080072,      -1.358756569,       1.519225566
          0,           0,          21,      -3.977170405,      -1.983909998,      -1.380655484,       1.502840404
          0,           0,          22,      -4.010784052,      -2.008784164,      -1.418893535,       1.469361188
          0,           0,          23,      -4.037556866,      -2.029902323,       -1.44837327,       1.442797399
          0,           0,          24,      -4.052523244,      -2.043090141,      -1.463441474,       1.427996969
          0,           0,          25,      -4.069486113,      -2.064562433,      -1.474872566,       1.411072256
          0,           0,          26,      -4.084980898,      -2.083452383,      -1.485142169,        1.39549218
          0,           0,          27,      -4.102725526,      -2.100395756,      -1.500088346,       1.377624769
          0,           0,          28,      -4.124774959,      -2.119269724,      -1.522555561,       1.355458239
          0,           0,          29,      -4.154654249,      -2.140496544,      -1.555406637,       1.325591845
          0,           0,          30,      -4.183737111,       -2.16387966,      -1.589054873,       1.296620933
          0,           0,          31,      -4.211227952,      -2.190479134,      -1.618819126,       1.269320955
          0,           0,          32,      -4.232889949,      -2.217586981,       -1.63804325,       1.247824426
          0,           0,          33,      -4.246651038,      -2.239209172,      -1.645764623,       1.234110886
          0,           0,          34,      -4.258278051,      -2.254069696,      -1.650291568,       1.222420893
          0,           0,          35,      -4.272323976,      -2.262001006,      -1.659307024,       1.208265006
          0,           0,          36,      -4.292965864,      -2.267299629,      -1.678523416,       1.187551102
          0,           0,          37,      -4.323521138,      -2.276357112,      -1.711046887,       1.157038157
          0,           0,          38,      -4.361743353,       -2.29309468,      -1.754035821,       1.119000685
          0,           0,          39,      -4.402294735,      -2.319141284,      -1.799769461,       1.078762234
          0,           0,          40,      -4.435453077,      -2.352163884,      -1.834451636,       1.045905167
          0,           0,          41,        -4.4526778,       -2.38562638,      -1.847000311,       1.028762775
